globalid,name,address,latitude,longitude,restroom_open_status,advertised_hours,ada_accessible,gender_neutral,baby_changing,showers,menstrual_products,category,operated_by,restroom_assessed,restroom_assessment_date,public_buildings,outdoor_facilities,government_facilities,commercial,transportation_mts,other,notes,timestamp,place_id,action,researcher_name,audit_datetime,restroom_name,open_when_visited,access_method,findability,showers_available,water_refill_nearby,visible_signage,security_cameras,access_barriers,overall_impressions,outside_context,approved
15f36506-b17b-478e-a36b-046ca55ab3f0,Spring Valley Community Center,"8735 Jamacha Blvd, Spring Valley, CA 91977",32.70676428,-117.0077805,,"Mon - Tues 11:30am - 8:00pm, Wed - Sat 9:30am - 6:00pm, Sun closed",,,,,,,San Diego County,,,,,,,,,,,,,,,,,,,,,,,,,,
ff134a82-b66b-4d13-b631-baec904e208b,Lakeside Community Center,"9841 Vine St, Lakeside, CA 92040",32.85909585,-116.9202379,,Mon - Fri 12:00pm - 8:00pm; Sat - Sun special events,,,,,,,San Diego County,,31:42.8,,,,,,,,,,,,,,,,,,,,,,,,
d47b11d1-aefb-4fdb-9363-567478b7bbe3,Ned Baumer Swimming Pool,"10440 Black Mountain Rd, San Diego, CA 92126",32.9078543,-117.1214161,,"Pool closed until Jan 15, 2023; maybe SanDiego.gov will update hours once it reopens.",,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
41e68b98-41fd-46d0-8a02-c18adf166c72,Azalea Park Recreation Center,"2596 Violet St, San Diego, CA 92105",32.73236468,-117.1081549,,Mon - Thurs 2:00pm - 7:00pm; Fri 2:00pm - 6:00pm; Sat 10:00am - 4:00pm; Sun 11:00am - 4:00pm,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
ff2956a5-ff4e-4070-b4b9-897b0f931aab,Junior Seau Community Center,"300 The Strand N Suite A, Oceanside, CA 92054",33.19493229,-117.3844565,,"Mon - Tues 11:30am - 8:00pm, Wed - Sat 9:30am - 6:00pm, Sun closed",,,,,,,City of Oceanside,,,,,,,,,,,,,,,,,,,,,,,,,,
c82ebea7-95e5-40a5-b58f-873e70e13062,San Elijo Recreation Center,"1105 Elfin Forest Rd, San Marcos, CA 92078",33.10000367,-117.2015977,,"Mon - Tues 11:30am - 8:00pm, Wed - Sat 9:30am - 6:00pm, Sun closed",,,,,,,City of San Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,
971e8cee-c1f0-4aef-bb29-139c0410ce06,Country Club Senior Center,"455 Country Club Ln, Oceanside, CA 92054",33.19677007,-117.3648981,,"Mon - Tues 11:30am - 8:00pm, Wed - Sat 9:30am - 6:00pm, Sun closed",,,,,,,City of Oceanside,,,,,,,,,,,,,,,,,,,,,,,,,,
2b5c37a4-df22-4fcb-9404-7e8396415163,Hilltop Recreation Center,"9711 Oviedo Way, San Diego, CA 92129",32.97149433,-117.1187523,,"Mon, Wed, Fri 12:00pm - 5:00pm; Tues 12:00pm - 7:00pm; Thurs 12:00pm - 7:30pm; Sat 9:00am - 3:00pm; Sun Closed",,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
afe292cc-0afc-4761-9ecb-4c9c7062ec30,Hourglass Gymnasium,"J-100 Gymnasium, 10440 Black Mountain Rd, San Diego, CA 92126",32.9075548,-117.1204251,,Mon & Wed 10:00am - 9:00pm; Tues & Thurs 1:00pm - 9:00pm; Fri 11:00am - 8:00pm; Sat 9:00am - 4:00pm; Sun 10:00am - 4:00pm,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
1c79ab1d-1a6f-4dfe-8053-168a9a4c126f,Salt Creek Recreation Center,"2710 Otay Lakes Rd, Chula Vista, CA 91915",32.64381088,-116.9448317,,"Mon - Tues 11:30am - 8:00pm, Wed - Sat 9:30am - 6:00pm, Sun closed",,,,,,,City of Chula Vista,,,,,,,,,,,,,,,,,,,,,,,,,,
62d3694d-87cd-4981-af10-ebc387c3dbbb,Rancho Bernardo Ed Brown Senior Center,"18402 W Bernardo Dr, San Diego, CA 92127",33.04730752,-117.0772626,,Mon - Thurs 9:00am - 3:00pm; Fri 9:00am - 1:00pm; Sat - Sun Closed,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
065b8a76-c98b-4815-96db-59c83b47a9ce,Rancho Bernardo Community Park Softball Fields,"18448 W Bernardo Dr, San Diego, CA 92127",33.04805172,-117.0744329,,24/7,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
a735a7c4-4ff2-4bf9-b947-ab78f3404991,Chula Vista Heritage Park,"1339 E Palomar St, Chula Vista, CA 91913",32.62440397,-116.9971869,1,"Mon - Tues closed, Wed - Sun 9:30am - 4:00pm",,,,,,,City of Chula Vista,,,,,,,,,,,,,,,,,,,,,,,,,,
9ec4ed35-9a36-45d3-8582-2b73db9279d0,Montevalle Recreation Center,"840 Duncan Ranch Rd, Chula Vista, CA 91914",32.65894166,-116.9521007,,"Mon - Wed 8:30am - 6:00pm, Thurs - Fri 8:30am - 4:00pm, Fri 9:30am - 2:30pm, Sun closed",,,,,,,City of Chula Vista,,,,,,,,,,,,,,,,,,,,,,,,,,
6a761ac9-1948-4ccb-b239-9688bc0401df,Doyle Community Park Playground,"8175 Regents Rd, San Diego, CA 92122",32.86420374,-117.2206453,,24/7,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
adb63f4e-468b-4bef-b6fa-7f9f7abe9721,Doyle Community Park,"8175 Regents Rd, San Diego, CA 92122",32.86469777,-117.2184402,,24/7,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
c754d087-35b5-4e2c-965e-5cba95a0c0dd,Doyle Recreation Center,"8175 Regents Rd, San Diego, CA 92122",32.86449658,-117.2208411,,Mon - Thurs 9:00am - 9:00pm; Fri 1:00pm - 7:00pm; Sat 9:00am - 3:00pm; Sun Closed,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
6212d02b-ca4c-4bc6-ba3e-5b1cdd79d2fe,Kumeyaay Lake,"2 Father Junipero Serra Trail San Diego, CA 92119",32.83982992,-117.0335786,,8:00am - 10:00pm,,,,,,,City of San Diego & Mission Trails Regional Park,,,,,,,,,,,,,,,,,,,,,,,,,,
9e29421b-f375-4afd-af12-9066f51bcfaf,Kearny Mesa Swimming Pool,"3170 Armstrong St, San Diego, CA 92111",32.80184307,-117.1652331,,Tues & Thurs 12:00pm - 5:00pm,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
229df37b-685c-4a23-b8a6-db0dc3f36770,Allied Gardens Pool,"6707 Glenroy St, San Diego, CA 92120",32.7941158,-117.0811203,1,Mon & Fri 9:00am - 7:00pm; Wed 2:00pm - 7:00pm,1,0,1,0,0,1,City of San Diego,3,10/16/22 16:24,3,,,,,,,,,,,,,,,,,,,,,,,
61d9c3a0-8414-4e64-a702-0d3b0cd2c81a,Swanson Memorial Swimming Pool,"3585 Governor Dr, San Diego, CA 92122",32.85174263,-117.2095922,,Mon & Wed 11:15am - 4:00pm; Fri 12:00pm - 3:00pm,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
c10c625c-cd13-416a-b33f-070ecc478522,John Landes Recreation Center,"2855 Cedar Rd, Oceanside, CA 92056",33.1946704,-117.2854987,,"Mon, Wed, & Fri 9:00am - 4:30pm, All other days closed",,,,,,,City of Oceanside,,,,,,,,,,,,,,,,,,,,,,,,,,
b13396e1-e206-4fce-bf9d-6150e5fa2ec5,Carmel Valley Park,"3777 Townsgate Dr, San Diego, CA 92130",32.94846944,-117.2326972,,24/7,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
b31ba17b-a386-4258-92c6-b0891fa94305,Carmel Valley Recreation Center,"3777 Townsgate Dr, San Diego, CA 92130",32.94865343,-117.2339974,,"Mon, Wed, & Fri 9:00am - 8:00pm; Tues 9:00am - 6:00pm; Thurs 9:00am - 9:00pm, Sat 9:00am - 3:00pm; Sun Closed",,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
155dbe14-1ea4-4015-9b02-da6ac2623612,Carmel Valley Skatepark,"12600 El Camino Real, San Diego, CA 92130",32.94781768,-117.2377944,,"10:00am - 8:00pm, daily",,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
08f0a112-d6fa-4046-80c8-8876091cf713,Carmel Mountain Ranch/Sabre Springs Recreation Center,"10152 Rancho Carmel Dr, San Diego, CA 92128",32.96706535,-117.0911807,1,"Mon, Wed, & Fri 9:00am - 8:00pm, Tues &Thurs 9:30am - 8:00pm, Sat 9:00am - 3:00pm, Sun closed",1,0,1,1,0,1,City of San Diego,3,6/24/23 16:41,2,,,,,,,,,,,,,,,,,,,,,,,
6ae2da60-025f-46da-876f-b7ae1af3107c,Spring Valley Branch Library,"836 Kempton St, Spring Valley, CA 91977",32.71218746,-117.0025008,,"Mon, Wed, & Thurs 10:00am - 6:00pm, Tues12:00pm - 7:00pm, Fri 10:00am - 5:00pm, Sat - Sun closed",,,,,,,San Diego County,,,,,,,,,,,,,,,,,,,,,,,,,,
dbf2ede0-e13f-4d6f-a67a-53e8bf718d5a,North Park Recreation Center,"4044 Idaho St, San Diego, CA 92104",32.75104716,-117.134126,,"Mon, Tues, Thurs, Fri 11:00am - 8:00pm; Wed 9:00am - 8:00pm; Sat 9:00am - 5:00pm; Sun 9:00am - 4:00pm",,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
710c4a41-a393-42f7-b63e-8596170655f5,Ramona Branch Library,"1275 Main St, Ramona, CA 92065",33.03985712,-116.8732765,,"Mon, Wed, Thurs 10:00am - 6:00pm, Tues 12:00pm - 7:00pm, Fri - Sat 10:00am - 5:00pm, Sun closed",,,,,,,San Diego County,,,,,,,,,,,,,,,,,,,,,,,,,,
